legacy_id,source_item_code,manual_code,item_type,source_number,source_text_sha256,source_status,governance_approval_status
DGI-095,DGI-07-A02,iSAFE-DGM-07,REQUIREMENT,2,b3989f2cee1e05feea503f91cf84e358249540f803994283075fb10932d84d48,SOURCE_FOUND,PENDING
DGI-096,DGI-07-A03,iSAFE-DGM-07,REQUIREMENT,3,b934e54a5d9cfb8d31f5bc7b7908523c5f320c0725c9778c360c93f3f169478d,SOURCE_FOUND,PENDING
DGI-097,DGI-07-A04,iSAFE-DGM-07,REQUIREMENT,4,e38977d5061af4e13cb8359be24af952b014ddcc1d20cc7b6f7f1da43abd55ac,SOURCE_FOUND,PENDING
DGI-098,DGI-07-A05,iSAFE-DGM-07,REQUIREMENT,5,18fae3a9f7da386ff88c58bb815576ee61f9a5bfbe53875c5fd1b4c0d1c19486,SOURCE_FOUND,PENDING
DGI-099,DGI-07-E01,iSAFE-DGM-07,RISK_SIGNAL,1,224900c3d05798b5e6c53c9cb4d0cf3f1e3ff752a1e5ca9f7c3592b2f7ed99dd,SOURCE_FOUND,PENDING
DGI-100,DGI-07-E02,iSAFE-DGM-07,RISK_SIGNAL,2,847099b028a603cc982d52ade03414d04a77d01554bb0373cac1b96ec10494b6,SOURCE_FOUND,PENDING
DGI-101,DGI-07-E03,iSAFE-DGM-07,RISK_SIGNAL,3,7b402fa35f8e958025ac23cd0c6448b42581bf23e8083b97f192f18590f0ccbc,SOURCE_FOUND,PENDING
DGI-102,DGI-07-E04,iSAFE-DGM-07,RISK_SIGNAL,4,9b84e2484789665196b504c5d33223d078279319c980ccd5d0a729c6fa5aa180,SOURCE_FOUND,PENDING
DGI-103,DGI-07-E05,iSAFE-DGM-07,RISK_SIGNAL,5,f8ebcf579fed32ac43cedef14d450ec991129f495e8ffac4ca3180954840aaed,SOURCE_FOUND,PENDING
DGI-104,DGI-07-P01,iSAFE-DGM-07,CONTROL,1,f5a703dd9fa45a692050ca4b9f60e371499040c99be47e904362773068ef373d,SOURCE_FOUND,PENDING
DGI-105,DGI-07-P02,iSAFE-DGM-07,CONTROL,2,df9464a074f13429b86dd25bd67b76e67799f5bbb525bdab24f87261fa51bb8e,SOURCE_FOUND,PENDING
DGI-106,DGI-07-P03,iSAFE-DGM-07,CONTROL,3,0a4df84ec40d5ca23c3be8072f7bb7f02d49258b026ebe1774b63bc19c962d3d,SOURCE_FOUND,PENDING
